uuid,file_name,file_path,file_type,evidence_category,category,subject,file_size_bytes,confidence_score,location_path
doc-0012,415017DGarcia-Deerey072825 Ex 003.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 003.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 003,414053,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0013,415017DGarcia-Deerey072825 Ex 004.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 004.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 004,570440,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0014,415017DGarcia-Deerey072825 Ex 005.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 005.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 005,339401,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0015,415017DGarcia-Deerey072825 Ex 006.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 006.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 006,191102,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0016,415017DGarcia-Deerey072825 Ex 007.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 007.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 007,1555971,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0017,415017DGarcia-Deerey072825 Ex 008.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 008.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 008,275443,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0018,415017DGarcia-Deerey072825 Ex 009.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 009.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 009,2442857,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0019,415017DGarcia-Deerey072825 Ex 010.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 010.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 010,275446,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0020,415017DGarcia-Deerey072825 Ex 011.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 011.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 011,670676,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0021,415017DGarcia-Deerey072825 Ex 012.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 012.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 012,1270817,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0022,415017DGarcia-Deerey072825 Ex 013.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 013.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 013,302636,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0023,415017DGarcia-Deerey072825 Ex 014.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 014.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 014,166183,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0024,415017DGarcia-Deerey072825 Ex 015.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 015.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 015,10282378,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0025,415017DGarcia-Deerey072825 Ex 016.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 016.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 016,8586150,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0026,415017DGarcia-Deerey072825 Ex 017.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 017.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 017,165260,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0027,415017DGarcia-Deerey072825 Ex 018.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 018.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 018,3298678,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0028,415017DGarcia-Deerey072825 Ex 019.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 019.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 019,424286,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0029,415017DGarcia-Deerey072825 Ex 020.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 020.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 020,408615,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0030,415017DGarcia-Deerey072825 Ex 021.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 021.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 021,593632,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0031,415017DGarcia-Deerey072825 Ex 022.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 022.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 022,511703,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0032,415017DGarcia-Deerey072825 Ex 023.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 023.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 023,719321,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0033,415017DGarcia-Deerey072825 Ex 024.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 024.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 024,30889944,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0034,415017DGarcia-Deerey072825 Ex 025.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 025.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 025,2098768,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0035,415017DGarcia-Deerey072825 Ex 026.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 026.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 026,373834,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0036,415017DGarcia-Deerey072825 Ex 027.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 027.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 027,142989,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0037,415017DGarcia-Deerey072825 Ex 028.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 028.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 028,397423,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0038,415017DGarcia-Deerey072825 Ex 029.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 029.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 029,2172675,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0039,415017DGarcia-Deerey072825 Ex 030.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 030.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 030,334994,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0040,415017DGarcia-Deerey072825 Ex 031.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 031.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 031,772089,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0041,415017DGarcia-Deerey072825 Ex 032.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 032.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 032,6988272,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0042,415017DGarcia-Deerey072825 Ex 033.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 033.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 033,4231469,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0043,415017DGarcia-Deerey072825 Ex 034.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 034.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 034,342945,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0044,415017DGarcia-Deerey072825 Ex 035.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 035.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 035,257598,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0045,415017DGarcia-Deerey072825 Ex 036.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 036.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 036,784875,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0046,415017DGarcia-Deerey072825 Ex 037.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 037.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 037,197016,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0047,415017DGarcia-Deerey072825 Ex 038.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 038.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 038,1524759,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0048,415017DGarcia-Deerey072825 Ex 039.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 039.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 039,172249,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0049,415017DGarcia-Deerey072825 Ex 040.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 040.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 040,215704,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0050,415017DGarcia-Deerey072825 Ex 041.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 041.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 041,904544,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0051,415017DGarcia-Deerey072825 Ex 042.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 042.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 042,527084,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0052,415017DGarcia-Deerey072825 Ex 043.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 043.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 043,1310816,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0053,415017DGarcia-Deerey072825 Ex 044.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 044.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 044,241303,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
