Jurisdiction,Expert Testimony Standard,Standard Name,Key Test,Peer Review Required,Error Rate Required,General Acceptance Required,Testability Required,Judicial Gatekeeping,Flexibility,Spoliation Standard,Independent Spoliation Tort,Adverse Inference Available,FRE 902 Self-Authentication,Best Practice Recommendation
Nevada,Daubert,Nev. Rev. Stat. 50.275,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
New Hampshire,Daubert,N.H. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
New Jersey,Daubert (Modified),In re Accutane Litig. (2018),Reliability-focused (Daubert-like),Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,State rules,Prepare as Daubert jurisdiction; post-2018 shift from Frye to Daubert-like analysis
New Mexico,Daubert,N.M. R. Evid. 11-702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
New York,Frye,Frye v. United States (1923),General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,State procedural rules,No,Yes,State rules,Emphasize general acceptance in digital forensics community; cite NIST/ISO/SWGDE; provide expert declarations; avoid novel techniques (LLM)
North Carolina,Daubert,N.C. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
North Dakota,Daubert,N.D. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Ohio,Daubert,Ohio R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Oklahoma,Daubert,Okla. Stat. tit. 12 § 2702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Oregon,Daubert,Or. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Pennsylvania,Frye,Frye v. United States (1923),General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,Schroeder v. Commonwealth (1998) - no negligent spoliation tort,No - refuses negligent spoliation claim,Yes - sanctions within case,State rules,Emphasize general acceptance; cite industry standards; provide expert declarations; spoliation sanctions based on fault/prejudice balance
Rhode Island,Daubert,R.I. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
South Carolina,Daubert,S.C. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
South Dakota,Daubert,S.D. Codified Laws § 19-15-2,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Tennessee,Daubert,Tenn. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Texas,Daubert,Tex. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Utah,Daubert,Utah R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Vermont,Daubert,Vt. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Virginia,Daubert,Va. Code § 8.01-401.1,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Washington,Frye,Frye v. United States (1923),General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,State procedural rules,No,Yes,State rules,Emphasize general acceptance; cite NIST/ISO/SWGDE; provide expert declarations; avoid novel techniques
West Virginia,Daubert,W. Va. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Wisconsin,Daubert,Wis. Stat. § 907.02,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Wyoming,Daubert,Wyo. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
District of Columbia,Daubert,D.C. Super. Ct. Civ. R. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,FRCP 37(e),No,Yes,Yes - FRE 902(13)(14),Prepare as federal Daubert jurisdiction
